"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\badin\Downloads\client1k\src\app\services\modal.service.ts", "TypeScript", -2381, -100, -311, -2792
"Total", "-", -2381, -100, -311, -2792
