"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\badin\Downloads\client1k\src\app\services\modal.service.ts", "TypeScript", 2351, -2351, 0, 0
"Total", "-", 2351, -2351, 0, 0
