"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "SCSS", "HTML", "CSS", "CSV", "XML", "YAML", "comment", "blank", "total"
"c:\Users\badin\Downloads\client1k\src\app\components\footer\footer.component.scss", "SCSS", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\badin\Downloads\client1k\src\app\components\footer\footer.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\badin\Downloads\client1k\src\app\components\footer\footer.component.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\badin\Downloads\client1k\src\app\components\header\header.component.html", "HTML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 24, 1, 55
"c:\Users\badin\Downloads\client1k\src\app\components\header\header.component.scss", "SCSS", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 17, 101
"c:\Users\badin\Downloads\client1k\src\app\components\header\header.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\badin\Downloads\client1k\src\app\components\header\header.component.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\badin\Downloads\client1k\src\app\components\info\info.component.html", "HTML", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 43
"c:\Users\badin\Downloads\client1k\src\app\components\info\info.component.scss", "SCSS", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\badin\Downloads\client1k\src\app\components\info\info.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\badin\Downloads\client1k\src\app\components\info\info.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\badin\Downloads\client1k\src\app\components\page-not-found\page-not-found.component.html", "HTML", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 3, 34
"c:\Users\badin\Downloads\client1k\src\app\components\page-not-found\page-not-found.component.scss", "SCSS", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\badin\Downloads\client1k\src\app\components\page-not-found\page-not-found.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\badin\Downloads\client1k\src\app\components\page-not-found\page-not-found.component.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\badin\Downloads\client1k\src\app\components\profile\profile.component.html", "HTML", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 1, 45
"c:\Users\badin\Downloads\client1k\src\app\components\profile\profile.component.scss", "SCSS", 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 25, 121
"c:\Users\badin\Downloads\client1k\src\app\components\profile\profile.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\badin\Downloads\client1k\src\app\components\profile\profile.component.ts", "TypeScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 4, 6, 88
"c:\Users\badin\Downloads\client1k\src\app\components\reference\reference.component.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"c:\Users\badin\Downloads\client1k\src\app\components\reference\reference.component.scss", "SCSS", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\badin\Downloads\client1k\src\app\components\reference\reference.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\badin\Downloads\client1k\src\app\components\reference\reference.component.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\badin\Downloads\client1k\src\app\components\registration-popup\registration-popup.component.html", "HTML", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 3, 39
"c:\Users\badin\Downloads\client1k\src\app\components\registration-popup\registration-popup.component.scss", "SCSS", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 8, 45
"c:\Users\badin\Downloads\client1k\src\app\components\registration-popup\registration-popup.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\badin\Downloads\client1k\src\app\components\registration-popup\registration-popup.component.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\badin\Downloads\client1k\src\app\components\routes\routes.component.html", "HTML", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\Users\badin\Downloads\client1k\src\app\components\routes\routes.component.scss", "SCSS", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 8, 41
"c:\Users\badin\Downloads\client1k\src\app\components\routes\routes.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\badin\Downloads\client1k\src\app\components\routes\routes.component.ts", "TypeScript", 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 13, 3, 169
"c:\Users\badin\Downloads\client1k\src\app\components\subsidies\subsidies.component.html", "HTML", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 18, 86
"c:\Users\badin\Downloads\client1k\src\app\components\subsidies\subsidies.component.scss", "SCSS", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 1, 19, 110
"c:\Users\badin\Downloads\client1k\src\app\components\subsidies\subsidies.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\badin\Downloads\client1k\src\app\components\subsidies\subsidies.component.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 8, 54
"c:\Users\badin\Downloads\client1k\src\app\models\flight.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\badin\Downloads\client1k\src\app\models\passenger.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\badin\Downloads\client1k\src\app\models\subsidy.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\badin\Downloads\client1k\src\app\models\ticket.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\badin\Downloads\client1k\src\app\services\auth.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\badin\Downloads\client1k\src\app\services\auth.service.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 47, 21, 85
"c:\Users\badin\Downloads\client1k\src\app\services\passenger.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\badin\Downloads\client1k\src\app\services\passenger.service.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 10, 47
"c:\Users\badin\Downloads\client1k\src\app\services\route.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\badin\Downloads\client1k\src\app\services\route.service.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26
"c:\Users\badin\Downloads\client1k\src\app\services\subsidy.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\badin\Downloads\client1k\src\app\services\subsidy.service.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27
"c:\Users\badin\Downloads\client1k\src\app\services\websocket\WebsocketModule.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\badin\Downloads\client1k\src\app\services\websocket\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\badin\Downloads\client1k\src\app\services\websocket\websocket.config.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\badin\Downloads\client1k\src\app\services\websocket\websocket.interfaces.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\badin\Downloads\client1k\src\app\services\websocket\websocket.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 3, 25
"c:\Users\badin\Downloads\client1k\src\app\services\websocket\websocket.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 15
"c:\Users\badin\Downloads\client1k\src\app\services\websocket\websocket.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 30, 139
"c:\Users\badin\Downloads\client1k\src\assets\images\flights.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 30
"c:\Users\badin\Downloads\client1k\src\assets\images\info(no pic).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 1, 29
"c:\Users\badin\Downloads\client1k\src\assets\images\info.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 39
"c:\Users\badin\Downloads\client1k\src\assets\images\pdf-2610.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\badin\Downloads\client1k\src\assets\images\route(no pic).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 1, 29
"c:\Users\badin\Downloads\client1k\src\assets\images\route.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 34
"c:\Users\badin\Downloads\client1k\src\assets\routes.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 271, 0, 0, 0, 0, 271
"c:\Users\badin\Downloads\client1k\src\enviroments\enviroment.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\badin\Downloads\client1k\src\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\badin\Downloads\client1k\src\main.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 6, 11
"c:\Users\badin\Downloads\client1k\src\styles.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 5, 16
"c:\Users\badin\Downloads\client1k\tsconfig.app.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\badin\Downloads\client1k\tsconfig.json", "JSON with Comments", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 34
"c:\Users\badin\Downloads\client1k\tsconfig.spec.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"Total", "-", 14292, 32, 1191, 0, 873, 460, 20, 271, 170, 22, 350, 561, 18242
